阿呆に付ける薬なし, 阿呆, aho-, ahou, に付ける薬なし, 愚かな者を教え導く方法はない。ばかに付ける薬はない。
蛙は口ゆえ蛇に呑まるる, 蛙, kaeru, kaeru, は口ゆえ蛇に呑まるる, 余計な口をきいて身を滅ぼすことのたとえ。蛙は口から_まるる。
額に箭は立つとも背に箭は立たず, 額, gaku, gaku, に箭は立つとも背に箭は立たず, 額に矢疵を受けることはあっても背中に矢疵を受けることはない。敵にうしろを見せないということ。
噛む馬はしまいまで噛む, 噛む, kamu, kamu, 馬はしまいまで噛む, 悪い癖は容易に直らないというたとえ。
勘定合って銭足らず, 勘定, kan'zyo-, kan'zyou, 合って銭足らず, 計算に間違いはないが，現金が足りない意。理論と現実とが合わないたとえ。
棺桶に片足を突っ込む, 棺桶, kan'oke, kan'oke, に片足を突っ込む, 老いて死期が近いことのたとえ。
雁が飛べば石亀も地団駄, 雁, kari, kari, が飛べば石亀も地団駄, 石亀が，雁が飛ぶのを見て，自分も飛びたいと思って地団駄を踏む意。自分の能力を考えないで他人のまねをしたがるたとえ。
寄らば大樹の陰, 寄ら, yora, yora, ば大樹の陰, 頼るのなら勢力の大きなものに頼るべきだということのたとえ。立ち寄らば大木おおきの陰。
鬼の女房に鬼神がなる, 鬼, oni, oni, の女房に鬼神がなる, 鬼のような冷酷・残忍な夫には，それと釣り合う同じような女が女房になる。似たもの夫婦。鬼の女房に鬼神の亭主。
鬼の目にも涙, 鬼, oni, oni, の目にも涙, 冷酷無情な人間でも，時には情に感じて慈悲の心を起こすことのたとえ。
鬼も十八番茶も出花, 鬼, oni, oni, も十八番茶も出花, 女の子はだれでも年頃になれば，それ相応にきれいに見え，魅力もそなわるの意。古くは男女いずれにもいった。 ...">
鬼神に横道なし, 鬼神, kizin', kizin', に横道なし, 鬼神は道にはずれたことをしない。鬼神は邪なし。
義理と褌欠かされぬ, 義理, giri, giri, と褌欠かされぬ, 男子が常に身につけていなければならないふんどしを引き合いに出して，義理を欠いてはいけないことを強調した言葉。義理と褌はずされぬ。義理と褌せねばならぬ。
義理張るより頬張れ, 義理, giri, giri, 張るより頬張れ, 義理で出費するよりも，自分の利益を心がけろ。
蟻の思いも天に登る, 蟻, ari, ari, の思いも天に登る, たとえ微力であっても、一心に願えば望みが達成されることのたとえ。
泣く子と地頭には勝てぬ, 泣く, naku, naku, 子と地頭には勝てぬ, ききわけのない子供や横暴な権力者の無理には従うほかはない。道理を尽くしても，理の通じない者には勝ち目がないことにいう。
牛は願いから鼻を通す, 牛, usi, usi, は願いから鼻を通す, 自ら望んで災いを受けることのたとえ。牛と芥子は願いから鼻を通す。
魚の目に水見えず, 魚の目, uonome, uonome, に水見えず, ものに交わってなれてしまうと，善悪美醜の区別ができなくなることのたとえ。自分の身近に関することは，かえって気がつかないこと。
魚心あれば水心あり, 魚心, uogokoro, uogokoro, あれば水心あり, ⇒ の句項目
京男に伊勢女, 京, kyo-, kyou, 男に伊勢女, 男は京都の男がよく，女は伊勢国の女がよい，ということ。
近しき中にも礼儀あり, 近しき, tikasiki, tikasiki, 中にも礼儀あり, ⇒ 親しき中にも礼儀あり
近火で手をあぶる, 近火, kin'ka, kin'ka, で手をあぶる, 目前の小利を求めるたとえ。
近江泥棒伊勢乞食, 近江, o-mi, oumi, 泥棒伊勢乞食, 商才のある近江商人や倹約家の伊勢商人が江戸で成功していることを，江戸っ子がやっかみからののしっていった言葉。
金が金を溜める, 金, kimu, kimu, が金を溜める, もととなる金があれば次々に金はたまる。
金の切れ目が縁の切れ目, 金, kin', kin', の切れ目が縁の切れ目, 金銭だけで成り立っていた関係は，金銭がなくなればつながりが切れてしまう。
金は天下の回りもの, 金, kin', kin', は天下の回りもの, 金銭は一か所にばかりとどまっているものではなく，世間を回って動く。金は世界の回りもの。
金は天下の回り持ち, 金, kin', kin', は天下の回り持ち, 金銭は一か所にばかりとどまっているものではなく，世間を回って動く。金は世界の回りもの。
金銀は回り持ち, 金銀, kin'gin', kin'gin', は回り持ち, ⇒ 金かねは天下てんかの回まわり持もち
金持と灰吹きは溜るほどきたない, 金持, kanemoti, kanemoti, と灰吹きは溜るほどきたない, 灰吹きはタバコの灰が溜れば溜るほど汚くなるように，金持ちは金が溜るほど欲張りで意地汚くなる。
金請するとも人請するな, 金, kin', kin', 請するとも人請するな, 借金の保証人とはなっても人の保証人とはなるな。人物の保証をすることは面倒なことが多いことをいう。金請に立つとも人請に立つな。
九死に一生を得る, 九死, kyu-si, kyuusi, に一生を得る, 危ういところで奇跡的に助かる。
苦しい時の神頼み, 苦しい, kurusii, kurusii, 時の神頼み, 神仏を信じる心をもたない者が，困ったときだけ神仏の加護を請うこと。
空馬に怪我なし, 空馬, karauma, karauma, に怪我なし, 無一物の者は，損のしようがない。
兄弟は左右の手なり, 兄弟, kyo-dai, kyoudai, は左右の手なり, 兄弟は左右の手のように互いに助け合うべき関係にある。
兄弟は両の手, 兄弟, kyo-dai, kyoudai, は両の手, 兄弟は左右の手のように互いに助け合うべきであるというたとえ。兄弟は左右の手なり。
桂馬の高あがり, 桂馬, keima, keima, の高あがり, 桂馬が前に進み過ぎると弱い歩に取られるように，考えなしに飛び出して窮すること。また，不相応な高い地位に上がること。桂馬の高跳び。
芸は身の仇, 芸, gei, gei, は身の仇, 身に覚えた芸が，かえって身をあやまるもとになる。
芸は身を助ける, 芸, gei, gei, は身を助ける, 道楽でおぼえた芸が，おちぶれたときなどに生計をたてるのに役立つ。
芸は道によって賢し, 芸, gei, gei, は道によって賢し, 物事はその道にある人が一番よくわかっている。商売は道によって賢し。
芸術は長く人生は短し, 芸術, geizyutu, geizyutu, は長く人生は短し, 芸術家の生命は短い...">
結構毛だらけ猫灰だらけ, 結構, kekko-, kekkou, 毛だらけ猫灰だらけ, 大変結構だという意の地口。
賢者ひだるし伊達寒し, 賢者, ken'zya, ken'zya, ひだるし伊達寒し, 賢者は世俗に妥協しないために飢え，伊達者は薄着をするので寒い。俗人とちがった生き方をするものはつらい目にあうというたとえ。
軒を貸して母屋を取られる, 軒, noki, noki, を貸して母屋を取られる, に同じ。
舷舷相摩す, 舷, hunabata, hunabata, 舷相摩す, ふなべりとふなべりが触れ合う。激しい船軍のようす。
言わぬが花, 言わ, iwa, iwa, ぬが花, はっきり言わない方が趣がある。あけすけに言っては実もふたもない。
言葉は心の使い, 言葉, kotoba, kotoba, は心の使い, 心に思っていることは，自然に言葉に表れてしまうものであるということ。
股を割いて腹に充たす, 股, mata, mata, を割いて腹に充たす, 自分の利益をはかって，かえって自らたおれるたとえ。
碁に凝ると親の死に目に逢わぬ, 碁, go, go, に凝ると親の死に目に逢わぬ, 碁は極めて重大なことでも忘れてしまうほど夢中になりやすいものである。
護国の鬼, 護国, gokoku, gokoku, の鬼, 国を守るために命を捨てた人。特に，戦死した人をいう。
光陰矢の如し, 光陰, ko-in', kouin', 矢の如し, 月日のたつのが速いことのたとえ。
口から先へ生まれる, 口, kuti, kuti, から先へ生まれる, 口の達者な者やおしゃべりな者をあざけっていうたとえ。
口では大坂の城も建つ, 口, kuti, kuti, では大坂の城も建つ, 口ではどんな大きなことでも言えるというたとえ。
口も八丁手も八丁, 口, kuti, kuti, も八丁手も八丁, しゃべることも，することも非常に達者なこと。口八丁手八丁。
口八丁手八丁, 口八丁, kutihattyo-, kutihattyou, 手八丁, に同じ。
向かう鹿に矢が立たず, 向かう, mukau, mukau, 鹿に矢が立たず, こちらを向いている鹿に矢を射るような，むごいことはできない。無抵抗な相手をむやみに攻撃することのできないたとえ。
喉から手が出る, 喉, nodo, nodo, から手が出る, 欲しいと思う気持ちが、抑えかねるほどであることのたとえ。
弘法筆を択ばず, 弘法, guho-, guhou, 筆を択ばず, 本当の名人は道具のよしあしにかかわらず立派な仕事をすることのたとえ。
行き大名の帰り乞食, 行き, iki, iki, 大名の帰り乞食, 行きは豪勢に金を使って旅をして，帰りは旅費が欠乏するということ。
高木は風に折らる, 高木, takagi, takagi, は風に折らる, 声望や地位の高い者が，他からねたまれて身を滅ぼすことのたとえ。高木風に憎まる。
惚れた目には痘痕も靨, 惚れ, hore, hore, た目には痘痕も靨, 惚れていると相手の欠点も美点に見えるというたとえ。
細い目で長く見よ, 細い, hosoi, hosoi, 目で長く見よ, ものごとは一時の利害にとらわれないで，将来まで見通すことが大切である。
裁ち縫わぬ衣着る人, 裁ち, tati, tati, 縫わぬ衣着る人, 仙人の異名。
罪を悪んで人を悪まず, 罪, tumi, tumi, を悪んで人を悪まず, 犯した罪は罪として罰し憎んでも，その罪を犯した人までも憎んではならない。その意を悪みてその人を悪まず。
罪無くして配所の月を見る, 罪, tumi, tumi, 無くして配所の月を見る, 流刑地のような辺境の地で，罪人としてではなく普通の人として月を眺められたらさぞ情趣があることだろうの意。  &amp;raq...">
財布の紐を首に懸けるよりは心に掛けよ, 財布, saihu, saihu, の紐を首に懸けるよりは心に掛けよ, 金銭は盗まれぬように気をつけるよりも，無駄遣いをしないように心がける方が大切である。
始めは処女の如く後は脱兎の如し, 始め, hazime, hazime, は処女の如く後は脱兎の如し, はじめは弱々しく見せかけて敵を油断させ，のちにすばやく攻撃するたとえ。
子を思う鶴, 子, ko, ko, を思う鶴, 母親の我が子への強い愛のたとえ。 → 焼け野の雉夜の鶴
子供は風の子, 子供, kodomo, kodomo, は風の子, 子供が冬の寒風もいとわずに，元気に戸外で遊ぶことをいうたとえ。
志は木の葉に包め, 志, kokorozasi, kokorozasi, は木の葉に包め, たとえ木の葉に包むほどのわずかな物でも，贈る人の真心さえこもっていればそれでよい。志は笹の葉。志は椎の葉。志は松の葉。
思う事言わねば腹ふくる, 思う, omou, omou, 事言わねば腹ふくる, 心に思っていることを言わないでいるのは腹に物がつまっているようで落ち着かないものだ。
死んでの長者より生きての貧乏, 死ん, sin', sin', での長者より生きての貧乏, 死んで金持ちになるより，貧乏でも命のある方がよい。
死んで花実がなるものか, 死ん, sin', sin', で花実がなるものか, 死んだら再びよい目にも会えない。死んでしまったらおしまいだ。
死んで花実が咲くものか, 死ん, sin', sin', で花実が咲くものか, 死んだら再びよい目にも会えない。死んでしまったらおしまいだ。
死人に口無し, 死人, sinin', sinin', に口無し, 死んだ人は何も言えない。死者が抗弁できないのをよいことに，罪を着せたりするときや，死者からは証言を得ることができないことにいう。
死中に活を求める, 死中, sityu-, sityuu, に活を求める, 絶望的な状態にあって，切り抜けていく方法を探し求める。死中に生を求む。
詩に別才あり, 詩, si, si, に別才あり, 詩作は学問の浅深に関係なく，特殊の才能による。
詩を作るより田を作れ, 詩, si, si, を作るより田を作れ, 文芸に精力を使うよりは，実生活に利益のある仕事に精を出すべきだという意。
雌鳥勧めて雄鳥時をつくる, 雌鳥, men'dori, men'dori, 勧めて雄鳥時をつくる, 夫が妻の意見に動かされるたとえ。
飼い犬に手をかまれる, 飼い犬, kaiinu, kaiinu, に手をかまれる, ふだん目をかけていた者から思いがけず，害を受けること。
時の用には鼻をも削ぐ, 時, toki, toki, の用には鼻をも削ぐ, 緊急を要する場合には手段を選ばないことのたとえ。時の用には鼻を欠く。
耳を掩いて鈴を盗む, 耳, mimi, mimi, を掩いて鈴を盗む, 音がして他人に知れるのを恐れて，自分の耳をふさいで鈴を盗む。策を弄して自らを欺いても益のないこと。
耳を信じて目を疑う, 耳, mimi, mimi, を信じて目を疑う, 人から聞いたことを信じて自分の目で見たことを信じない。
自慢高慢馬鹿のうち, 自慢, ziman', ziman', 高慢馬鹿のうち, 自分の能力を自慢したり，偉ぶったりする者は馬鹿と同類である。
蒔かぬ種は生えぬ, 蒔か, maka, maka, ぬ種は生えぬ, 何もしないのに，よい結果が得られるわけはない。
鹿の角を蜂が刺す, 鹿, sika, sika, の角を蜂が刺す, 鹿の角を蜂が刺しても鹿は何も感じないように，いっこうに手ごたえがない。全く平気でいる。蛙の面に水。鹿の角を蜂が刺す。
七人の子は生すとも女に心許すな, 七, nana, nana, 人の子は生すとも女に心許すな, 長い年月を連れ添い，子供が七人もできた妻でも心を許してはいけない。女には油断するな，というたとえ。
実るほど頭の下がる稲穂かな, 実る, minoru, minoru, ほど頭の下がる稲穂かな, 学問や徳行が深くなれば，かえって謙虚になる。実る稲田は頭垂る。実るほど頭を垂れる稲穂かな。
蛇の目を灰汁で洗ったよう, 蛇の目, zyanome, zyanome, を灰汁で洗ったよう, 眼光のきわめて鋭いさま。また，物事の正邪善悪が明らかなさま。
蛇は一寸にして人を呑む, 蛇, hebi, hebi, は一寸にして人を呑む, 蛇は一寸ほどのときから人を_む勢いを示す。すぐれた人は幼少の頃から他人を圧倒するものがある。栴檀は双葉より芳し。
杓子で腹を切る, 杓子, syakusi, syakusi, で腹を切る, とても不可能であることのたとえ。また，形式的に物事をすることのたとえ。
若い時の苦労は買うてもせよ, 若い, wakai, wakai, 時の苦労は買うてもせよ, 若いときの苦労は将来必ず役に立つものであるから、進んで苦労をせよ。
弱り目に祟り目, 弱り目, yowarime, yowarime, に祟り目, 困ったときに，さらに困ったことが起こること。不運に不運が重なること。泣き面に蜂。
手が空けば口が開く, 手, te, te, が空けば口が開く, 仕事がなければ暮らしが立たない。また，暇になれば無駄話が多くなる。
手が後ろに回る, 手, te, te, が後ろに回る, 罪人として縄で後ろ手に縛られる。警察などにつかまる。
手が入れば足も入る, 手, te, te, が入れば足も入る, ささいなことを許せば，果てしなく侵されてしまうことのたとえ。
手習いは坂に車を押す如し, 手習い, tenarai, tenarai, は坂に車を押す如し, 学問や稽古事は少しでも油断をすると，もとに戻ってしまうことのたとえ。
手足を擂粉木にする, 手足, teasi, teasi, を擂粉木にする, 手足を酷使して働く。
酒飲み本性たがわず, 酒飲み, sakenomi, sakenomi, 本性たがわず, 酒飲みはどんなに酔っていてもその人の本性は変わらない。酒の酔い本性忘れず。
秋の鹿は笛に寄る, 秋, aki, aki, の鹿は笛に寄る, 秋の鹿は鹿笛の音にも，牝鹿の鳴き声と思って寄ってくる。恋に身を滅ぼすたとえ。また，弱点に乗じられやすいことのたとえ。
終わり良ければすべて良し, 終わり, owari, owari, 良ければすべて良し, 物事は，結末さえよければ，その過程でいざこざや失敗などがあっても全く問題にならないの意。
習わぬ経は読めぬ, 習わ, narawa, narawa, ぬ経は読めぬ, 学んだことのない物事は，やろうとしてもできるものではない。
臭い物に蝿がたかる, 臭い, kusai, kusai, 物に蝿がたかる, 悪臭のするものによく蠅がたかるように，とかく悪い者どうしは集まるものだというたとえ。
臭い物身知らず, 臭い, kusai, kusai, 物身知らず, 身体に悪臭があるのを自分では気づかないように，自分の欠点は自分ではわからないというたとえ。
衆盲象を摸す, 衆, syu-, syuu, 盲象を摸す, ⇒ 群盲象を撫ず
重箱の隅は杓子で払え, 重箱, zyu-bako, zyuubako, の隅は杓子で払え, あまり細かい所までうるさく言わずに，大目に見るべきことにたとえていう。
重宝を懐く者は夜行せず, 重宝, tyo-ho-, tyouhou, を懐く者は夜行せず, 大きな目的をいだくものは，その身を大切にして軽々しい振る舞いをしない。
女の一念岩をも通す, 女, on'na, on'na, の一念岩をも通す, 女の執念の強いことのたとえ。
女の足駄にて造れる笛には秋の鹿寄る, 女, on'na, on'na, の足駄にて造れる笛には秋の鹿寄る, 男は女の色香に迷いやすいことのたとえ。
女賢しくて牛売り損なう, 女, on'na, on'na, 賢しくて牛売り損なう, 女は利口のようでも，大局を見ずに目先の利にとらわれて失敗する。女賢しくて牛売られぬ。
女三界に家なし, 女, zyo, zyo, 三界に家なし, 女は三従といって，幼い時は親に従い，嫁に行っては夫に従い，老いては子に従わなければならないとされるから，一生の間，広い世界のどこにも安住の...">
女三人寄れば姦しい, 女, on'na, on'na, 三人寄れば姦しい, 女はおしゃべりだから三人も集まるとやかましいということ。
女氏無くして玉の輿に乗る, 女, on'na, on'na, 氏無くして玉の輿に乗る, 女は良い家柄の生まれでなくても，容姿が美しければ富貴の人の妻になり出世できる。
女房と畳は新しい方が良い, 女房, nyo-bo-, nyoubou, と畳は新しい方が良い, 女房と畳は新しい方がすがすがしくてよい。
小の虫を殺して大の虫を助ける, 小, syo-, syou, の虫を殺して大の虫を助ける, ⇒ 大の虫を生かして小の虫を殺せ
小を捨て大に就く, 小, syo-, syou, を捨て大に就く, さして重要でないものを捨て，大事なものを取る。
小姑一人は鬼千匹にむかう, 小姑, kozyu-tome, kozyuutome, 一人は鬼千匹にむかう, 嫁にとって，小姑一人は鬼千匹に匹敵するほど恐ろしく，わずらわしいものである。小姑は鬼千匹。
焼き餅焼くとて手を焼くな, 焼き餅, yakimoti, yakimoti, 焼くとて手を焼くな, 嫉妬も度が過ぎると自分に災いを招きかねないから慎まなくてはいけない。
鐘も撞木の当たりがら, 鐘, kane, kane, も撞木の当たりがら, こちらの対応の仕方で，相手の出方も決まる。また，つきあう相手によって，良くも悪くもなる。
障子に目あり, 障子, syo-zi, syouzi, に目あり, 秘密は漏れやすいものであるというたとえ。
上手の手から水が漏れる, 上手, zyo-zu, zyouzu, の手から水が漏れる, 上手な人でも，時には失敗することがある。
杖に縋るとも人に縋るな, 杖, tue, tue, に縋るとも人に縋るな, 安易に他人に頼ったり，他人の助力をあてにしたりするな。
色の白いは七難隠す, 色, iro, iro, の白いは七難隠す, 色白の女性は多少顔立ちが悪くとも美しく見える。
色は思案の外, 色, iro, iro, は思案の外, に同じ。
色男金と力は無かりけり, 色男, irootoko, irootoko, 金と力は無かりけり, 女に好かれる美男子というものは，とかく金と力はないものだ。
触らぬ神に祟りなし, 触ら, sawara, sawara, ぬ神に祟りなし, 関係しなければ，災いを招くこともない。傍観的に対処するのが最良である。
食を願わば器物, 食, syoku, syoku, を願わば器物, 食物を乞うならば，まずうつわを用意することが必要である。準備が大切だということのたとえ。
心の鬼が身を責める, 心, kokoro, kokoro, の鬼が身を責める, 良心の呵責かしやくを感じる。
心頭を滅却すれば火もまた涼し, 心頭, sin'to-, sin'tou, を滅却すれば火もまた涼し, 無念無想の境地にあれば，どんな苦痛も苦痛と感じない。 〔杜荀鶴より。禅家の公案とされ，1582年甲斐国の恵林寺が織田信長に焼き打ちされた際，住僧快川がこ...">
心頭滅却すれば火もまた涼し, 心頭, sin'to-, sin'tou, 滅却すれば火もまた涼し, 無念無想の境地にあれば，どんな苦痛も苦痛と感じない。 〔杜荀鶴より。禅家の公案とされ，1582年甲斐国の恵林寺が織田信長に焼き打ちされた際，住僧快川がこの偈...">
神は正直の頭に宿る, 神, kami, kami, は正直の頭に宿る, 神は正直な人間を守る。
親に似ぬ子は鬼子, 親, oya, oya, に似ぬ子は鬼子, 親に似ない子は人の子ではなく鬼の子である。子は親に似るのが普通である，の意。
親の因果が子に報う, 親, oya, oya, の因果が子に報う, 親のした悪業の報いが罪もない子に現れる。親の罰は子にあたる。
親は無くとも子は育つ, 親, oya, oya, は無くとも子は育つ, 親がいなくなっても，子供はなんとか育っていくものである。世の中のことはさほど心配したものではないというたとえ。
親方思いの主倒し, 親方, oyakata, oyakata, 思いの主倒し, 親方のためと称して，実は逆に親方に不利益をもたらすこと。
身を捨ててこそ浮かぶ瀬もあれ, 身, mi, mi, を捨ててこそ浮かぶ瀬もあれ, 一身を犠牲にする覚悟があってこそ，活路を見いだすことができる。
針を蔵に積みても溜らぬ, 針, hari, hari, を蔵に積みても溜らぬ, いくら小金をせっせとためても、蓄えは増えないことのたとえにいう。
人の口には戸が立てられない, 人, hito, hito, の口には戸が立てられない, ⇒ の句項目
人は死して名を留む, 人, hito, hito, は死して名を留む, 人は死んでも名声は後世にまで伝わる。虎は死して皮を留む。
人至って賢ければ友なし, 人, hito, hito, 至って賢ければ友なし, あまりに賢明で理知的であると，他人は敬遠して友とはならない。
人手に掛かる, 人手, hitode, hitode, に掛かる, ① 他人に殺される。 ② 他人の助けをうける。他人に養育される。
人食い馬にも合い口, 人, hito, hito, 食い馬にも合い口, どんな者にもそれにふさわしい相手がいるということのたとえ。
酔い醒めの水下戸知らず, 酔い醒め, yoizame, yoizame, の水下戸知らず, 酔いざめに飲む水のうまさは、酒を飲まない人にはわからない。
据え膳食わぬは男の恥, 据え膳, suezen', suezen', 食わぬは男の恥, 女の方から誘惑してきたとき，それに応じないようでは男として恥だということ。
雀の千声鶴の一声, 雀, suzume, suzume, の千声鶴の一声, つまらない者の千言より，すぐれた人の一言がまさっていることのたとえ。
世の中は盲千人目明き千人, 世の中, yononaka, yononaka, は盲千人目明き千人, 世の中には物のわかる人もいればわからない人もいる。盲千人目明き千人。
世間の口に戸はたてられぬ, 世間, seken', seken', の口に戸はたてられぬ, に同じ。
正直の頭に神宿る, 正直, syo-ziki, syouziki, の頭に神宿る, 正直な人には神の加護がある。
生き身は死に身, 生き身, ikimi, ikimi, は死に身, 生きている者は，必ず死ぬということ。生者必滅。
生は死の始め, 生, nama, nama, は死の始め, この世に生まれた時，すでにやがて来るべき死への道が始まっている。
生は難く死は易し, 生, nama, nama, は難く死は易し, 苦しみに耐えて生きていくことは，苦しみを我慢せず死ぬことよりむずかしい。
赤い信女, 赤い, akai, akai, 信女, 未亡人。後家。
赤きは酒のとが, 赤き, akaki, akaki, は酒のとが, 顔が赤いのは酒のせいであって自分の罪ではないの意で，責任のがれをすることにいう。
赤貧洗うが如し, 赤貧, sekihin', sekihin', 洗うが如し, はなはだしく貧しくて，洗い流したように持ち物が何もないさま。
舌の剣は命を絶つ, 舌, sita, sita, の剣は命を絶つ, 言動を慎まないために命を落とすたとえ。
川口で船を破る, 川口, kawaguti, kawaguti, で船を破る, ①  成功の一歩手前で失敗することのたとえ。 ②  物事を始める第一歩で失敗することのたとえ。
川向こうの火事, 川向, kawamukai, kawamukai, こうの火事, 自分に少しも苦痛を感じさせない出来事のたとえ。自分と直接関係ないこと。対岸の火事。
川中には立てども人中には立たれず, 川中, kawanaka, kawanaka, には立てども人中には立たれず, 世渡りの難しいことのたとえ。
川立ちは川で果てる, 川立ち, kawadati, kawadati, は川で果てる, 得意なわざのために油断をし，かえって身を滅ぼすことのたとえ。
船頭多くして船山に上る, 船頭, sen'do-, sen'dou, 多くして船山に上る, 指図する人が多くて物事がまとまらず，とんでもない方向に進んでゆくことのたとえ。
船頭馬方お乳の人, 船頭, sen'do-, sen'dou, 馬方お乳の人, ⇒ 馬方船頭お乳の人
草を打って蛇を驚かす, 草, kusa, kusa, を打って蛇を驚かす, ① ある一人をこらしめることで，それに関係する別の者をいましめる。 ② なにげなくしたことで思いがけない結果をまねく。草を打って蛇に驚く。
草木にも心を置く, 草木, kusaki, kusaki, にも心を置く, 草木のそよぎにも警戒する。些細なことをも恐れるたとえ。
蒼蝿驥尾に付して千里を致す, 蒼蝿, aobae, aobae, 驥尾に付して千里を致す, 蒼蠅も駿馬の尾についていれば，千里の遠方へも行くことができるように，つまらぬ者でもすぐれた人について事を行えば功名をなしとげることができる。驥尾に付す。
憎まれっ子神固し, 憎まれっ子, nikumarekko, nikumarekko, 神固し, 人から憎まれるような頑固な人間のほうが，かえって世の中で威勢をふるうものだ。憎まれっ子世にはばかる。
憎まれっ子世に憚る, 憎まれっ子, nikumarekko, nikumarekko, 世に憚る, 人から憎まれるような人間のほうが，かえって世間では威勢をふるうものだ，の意。
袖振り合うも他生の縁, 袖, sode, sode, 振り合うも他生の縁, 道で見知らぬ人と袖が触れ合うのも深い宿縁に基づくものだ。
